pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
objective_switch,mission,,e456,e499,,,r2,m10,m9,,,,,,,,,,,
objective_switch,mission,,e528,e548,,,r2,m9,m13,,,,,,,,,,,
objective_switch,mission,,e574,e591,,,r2,m13,m12,,,,,,,,,,,
objective_switch,mission,,e591,e649,,,r2,m12,m16,,,,,,,,,,,
objective_switch,mission,,e649,e672,,,r2,m16,m17,,,,,,,,,,,
objective_switch,mission,,e672,e709,,,r2,m17,m18,,,,,,,,,,,
objective_switch,mission,,e709,e742,,,r2,m18,m19,,,,,,,,,,,
objective_switch,mission,,e100,e108,,,r3,m13,m3,,,,,,,,,,,
objective_switch,mission,,e108,e128,,,r3,m3,m7,,,,,,,,,,,
objective_switch,mission,,e128,e153,,,r3,m7,m19,,,,,,,,,,,
objective_switch,mission,,e153,e181,,,r3,m19,m6,,,,,,,,,,,
objective_switch,mission,,e181,e200,,,r3,m6,m8,,,,,,,,,,,
objective_switch,mission,,e200,e237,,,r3,m8,m9,,,,,,,,,,,
objective_switch,mission,,e237,e253,,,r3,m9,m11,,,,,,,,,,,
objective_switch,mission,,e253,e297,,,r3,m11,m12,,,,,,,,,,,
objective_switch,mission,,e28,e52,,,r3,m1,m2,,,,,,,,,,,
objective_switch,mission,,e297,e326,,,r3,m12,m14,,,,,,,,,,,
objective_switch,mission,,e326,e353,,,r3,m14,m15,,,,,,,,,,,
objective_switch,mission,,e353,e361,,,r3,m15,m2,,,,,,,,,,,
objective_switch,mission,,e361,e365,,,r3,m2,m16,,,,,,,,,,,
objective_switch,mission,,e365,e410,,,r3,m16,m18,,,,,,,,,,,
objective_switch,mission,,e410,e440,,,r3,m18,m20,,,,,,,,,,,
objective_switch,mission,,e440,e452,,,r3,m20,m19,,,,,,,,,,,
objective_switch,mission,,e452,e536,,,r3,m19,m5,,,,,,,,,,,
objective_switch,mission,,e52,e76,,,r3,m2,m5,,,,,,,,,,,
objective_switch,mission,,e536,e696,,,r3,m5,m7,,,,,,,,,,,
objective_switch,mission,,e696,e770,,,r3,m7,m8,,,,,,,,,,,
objective_switch,mission,,e76,e100,,,r3,m5,m13,,,,,,,,,,,
objective_switch,mission,,e770,e784,,,r3,m8,m10,,,,,,,,,,,
objective_switch,mission,,e784,e802,,,r3,m10,m14,,,,,,,,,,,
objective_switch,mission,,e8,e28,,,r3,m2,m1,,,,,,,,,,,
objective_switch,mission,,e802,e814,,,r3,m14,m12,,,,,,,,,,,
objective_switch,mission,,e814,e826,,,r3,m12,m20,,,,,,,,,,,
objective_switch,mission,,e826,e830,,,r3,m20,m17,,,,,,,,,,,
objective_switch,mission,,e830,e838,,,r3,m17,m19,,,,,,,,,,,
objective_switch,mission,,e191,e225,,,r4,m2,m5,,,,,,,,,,,
objective_switch,mission,,e225,e267,,,r4,m5,m4,,,,,,,,,,,
objective_switch,mission,,e272,e318,,,r4,m4,m7,,,,,,,,,,,
objective_switch,mission,,e318,e335,,,r4,m7,m5,,,,,,,,,,,
objective_switch,mission,,e335,e345,,,r4,m5,m3,,,,,,,,,,,
objective_switch,mission,,e423,e466,,,r4,m3,m6,,,,,,,,,,,
objective_switch,mission,,e466,e475,,,r4,m6,m7,,,,,,,,,,,
objective_switch,mission,,e475,e485,,,r4,m7,m8,,,,,,,,,,,
objective_switch,mission,,e509,e553,,,r4,m8,m12,,,,,,,,,,,
objective_switch,mission,,e553,e600,,,r4,m12,m14,,,,,,,,,,,
objective_switch,mission,,e600,e609,,,r4,m14,m13,,,,,,,,,,,
objective_switch,mission,,e609,e636,,,r4,m13,m15,,,,,,,,,,,
objective_switch,mission,,e636,e677,,,r4,m15,m17,,,,,,,,,,,
objective_switch,mission,,e677,e724,,,r4,m17,m20,,,,,,,,,,,
objective_switch,mission,,e724,e756,,,r4,m20,m17,,,,,,,,,,,
objective_switch,mission,,e756,e775,,,r4,m17,m20,,,,,,,,,,,
objective_switch,mission,,e775,e789,,,r4,m20,m19,,,,,,,,,,,
objective_switch,mission,,e104,e120,,,r5,m14,m7,,,,,,,,,,,
objective_switch,mission,,e120,e177,,,r5,m7,m6,,,,,,,,,,,
